A,B,C,D
La3+,Pr4+,Li1+,O2-
Sc3+,V4+,Li1+,O2-
Ce3+,Ce4+,Li1+,O2-
Ce3+,Pr4+,Li1+,O2-
Pr3+,Ce4+,Li1+,O2-
Pr3+,Pr4+,Li1+,O2-
In1+,I7+,Li1+,O2-
Nd3+,Ce4+,Li1+,O2-
Nd3+,Pr4+,Li1+,O2-
Sm3+,Ce4+,Li1+,O2-
Sm3+,Pr4+,Li1+,O2-
La3+,Tb4+,Li1+,O2-
Eu3+,Ce4+,Li1+,O2-
Eu3+,Pr4+,Li1+,O2-
Ce3+,Tb4+,Li1+,O2-
Pr3+,Tb4+,Li1+,O2-
Nd3+,Tb4+,Li1+,O2-
Gd3+,Ce4+,Li1+,O2-
La3+,Cr4+,Li1+,O2-
Gd3+,Pr4+,Li1+,O2-
La3+,P4+,Li1+,O2-
Tb3+,Ce4+,Li1+,O2-
Ce3+,Cr4+,Li1+,O2-
Tb3+,Pr4+,Li1+,O2-
Pr3+,Cr4+,Li1+,O2-
Ce3+,P4+,Li1+,O2-
Pr3+,P4+,Li1+,O2-
Dy3+,Ce4+,Li1+,O2-
Sm3+,Tb4+,Li1+,O2-
Dy3+,Pr4+,Li1+,O2-
Nd3+,Cr4+,Li1+,O2-
Eu3+,Tb4+,Li1+,O2-
Ho3+,Ce4+,Li1+,O2-
Ho3+,Pr4+,Li1+,O2-
Nd3+,P4+,Li1+,O2-
Er3+,Ce4+,Li1+,O2-
Er3+,Pr4+,Li1+,O2-
In3+,Te4+,Li1+,O2-
Tm3+,Ce4+,Li1+,O2-
Tm3+,Pr4+,Li1+,O2-
Gd3+,Tb4+,Li1+,O2-
Tb3+,Tb4+,Li1+,O2-
Sm3+,Cr4+,Li1+,O2-
Yb3+,Ce4+,Li1+,O2-
Cr3+,Ce4+,Li1+,O2-
Yb3+,Pr4+,Li1+,O2-
Cr3+,Pr4+,Li1+,O2-
Sm3+,P4+,Li1+,O2-
Eu3+,Cr4+,Li1+,O2-
Lu3+,Ce4+,Li1+,O2-
Dy3+,Tb4+,Li1+,O2-
Lu3+,Pr4+,Li1+,O2-
V3+,Re4+,Li1+,O2-
V5+,Re1+,Li1+,O2-
Eu3+,P4+,Li1+,O2-
Ho3+,Tb4+,Li1+,O2-
Er3+,Tb4+,Li1+,O2-
Gd3+,Cr4+,Li1+,O2-
Tm3+,Tb4+,Li1+,O2-
Tb3+,Cr4+,Li1+,O2-
Gd3+,P4+,Li1+,O2-
Ti3+,Mo4+,Li1+,O2-
Yb3+,Tb4+,Li1+,O2-
Tb3+,P4+,Li1+,O2-
Lu3+,Tb4+,Li1+,O2-
Ag3+,Ta4+,Li1+,O2-
Dy3+,Cr4+,Li1+,O2-
Fe3+,Te4+,Li1+,O2-
Dy3+,P4+,Li1+,O2-
Ho3+,Cr4+,Li1+,O2-
Cr3+,Tb4+,Li1+,O2-
Fe5+,Rb1+,Li1+,O2-
Er3+,Cr4+,Li1+,O2-
Ho3+,P4+,Li1+,O2-
In3+,W4+,Li1+,O2-
Tm3+,Cr4+,Li1+,O2-
Er3+,P4+,Li1+,O2-
Mn3+,Mo4+,Li1+,O2-
Tm3+,P4+,Li1+,O2-
Yb3+,Cr4+,Li1+,O2-
Lu3+,Cr4+,Li1+,O2-
Sc3+,Ce4+,Li1+,O2-
Yb3+,P4+,Li1+,O2-
Sc3+,Pr4+,Li1+,O2-
Lu3+,P4+,Li1+,O2-
Fe3+,W4+,Li1+,O2-
Cr3+,Cr4+,Li1+,O2-
Sc3+,Tb4+,Li1+,O2-
Cr5+,Hg1+,Li1+,O2-
Cr5+,P1+,Li1+,O2-
Cr3+,P4+,Li1+,O2-
La3+,Re4+,Li1+,O2-
