Pretty Formula,A,B,C,D,sus_factor
Li7Zr3(OsO6)2,Zr1+,Os7+,Li1+,O2-,5000.263772088397
Li3TlO4,Tl1+,Li1+,Li1+,O1-,5006.664329215478
Li7Nb3(AsO6)2,Nb5+,As1+,Li1+,O2-,5009.6426926571985
Li7Nb3(AsO6)2,Nb1+,As1+,Li1+,O1-,5009.6426926571985
Li7Zr3(IrO6)2,Zr1+,Ir7+,Li1+,O2-,5018.392857659485
Li7Zr3(IrO6)2,Zr1+,Ir1+,Li1+,O1-,5018.392857659485
Li7Zr3(IrO6)2,Zr3+,Ir4+,Li1+,O2-,5018.392857659485
Li7Y3(OsO6)2,Y1+,Os1+,Li1+,O1-,5019.066786661919
Li7Y3(OsO6)2,Y1+,Os7+,Li1+,O2-,5019.066786661919
Li7Y3(OsO6)2,Y3+,Os2-,Li1+,O1-,5019.066786661919
Li7Y3(OsO6)2,Y3+,Os4+,Li1+,O2-,5019.066786661919
Li7Nb3O14,Nb3+,O2-,Li1+,O1-,5022.312683523788
Li7Tl3(PO6)2,Tl3+,P4+,Li1+,O2-,5025.20801194461
Li7Tl3(PO6)2,Tl3+,P2-,Li1+,O1-,5025.20801194461
Li7Tl3(PO6)2,Tl1+,P1+,Li1+,O1-,5025.20801194461
Li7Bi3(BrO6)2,Bi1+,Br7+,Li1+,O2-,5027.001281965175
Li7Bi3(BrO6)2,Bi1+,Br1+,Li1+,O1-,5027.001281965175
Li7Bi3(BrO6)2,Bi5+,Br1+,Li1+,O2-,5027.001281965175
Li7Bi3(BrO6)2,Bi3+,Br4+,Li1+,O2-,5027.001281965175
Li7Y3(IrO6)2,Y1+,Ir7+,Li1+,O2-,5037.253462043249
Li7Y3(IrO6)2,Y3+,Ir4+,Li1+,O2-,5037.253462043249
Li7Y3(IrO6)2,Y1+,Ir1+,Li1+,O1-,5037.253462043249
Li7Zr3(PtO6)2,Zr1+,Pt1+,Li1+,O1-,5044.270149768946
Li7Zr3(PtO6)2,Zr3+,Pt4+,Li1+,O2-,5044.270149768946
Li7Zr3(PtO6)2,Zr3+,Pt2-,Li1+,O1-,5044.270149768946
Li7Nb3(NO6)2,Nb1+,N1+,Li1+,O1-,5055.243103051543
Li7Nb3(NO6)2,Nb3+,N2-,Li1+,O1-,5055.243103051543
Li7Nb3(NO6)2,Nb3+,N4+,Li1+,O2-,5055.243103051543
Li7Nb3(NO6)2,Nb5+,N1+,Li1+,O2-,5055.243103051543
Li7Zn3(OsO6)2,Zn1+,Os7+,Li1+,O2-,5059.644047696542
Li7Zn3(OsO6)2,Zn1+,Os1+,Li1+,O1-,5059.644047696542
Li7Y3(PtO6)2,Y3+,Pt2-,Li1+,O1-,5063.210774655534
Li7Y3(PtO6)2,Y1+,Pt1+,Li1+,O1-,5063.210774655534
Li7Y3(PtO6)2,Y3+,Pt4+,Li1+,O2-,5063.210774655534
Li7Fe3(OsO6)2,Fe3+,Os4+,Li1+,O2-,5068.380069969266
Li7Fe3(OsO6)2,Fe1+,Os7+,Li1+,O2-,5068.380069969266
Li7Fe3(OsO6)2,Fe3+,Os2-,Li1+,O1-,5068.380069969266
Li7Fe3(OsO6)2,Fe5+,Os1+,Li1+,O2-,5068.380069969266
